,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({113}),frozenset({5}),0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,7.0,0.061224489795918366,1.8571428571428572
1,frozenset({5}),frozenset({113}),0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,7.0,0.061224489795918366,inf
2,frozenset({147}),frozenset({116}),0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,7.0,0.061224489795918366,1.8571428571428572
3,frozenset({116}),frozenset({147}),0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,7.0,0.061224489795918366,inf
4,"frozenset({297, 197})",frozenset({352}),0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,14.0,0.06632653061224489,inf
5,frozenset({352}),"frozenset({297, 197})",0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,14.0,0.06632653061224489,inf
6,frozenset({4}),"frozenset({5, 10, 112})",0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,7.0,0.061224489795918366,1.8571428571428572
7,"frozenset({5, 10, 112})",frozenset({4}),0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,7.0,0.061224489795918366,inf
8,"frozenset({147, 191})",frozenset({234}),0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,7.0,0.061224489795918366,1.8571428571428572
9,frozenset({234}),"frozenset({147, 191})",0.07142857142857142,0.14285714285714285,0.07142857142857142,1.0,7.0,0.061224489795918366,inf
10,"frozenset({300, 197})",frozenset({452}),0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,14.0,0.06632653061224489,inf
11,frozenset({452}),"frozenset({300, 197})",0.07142857142857142,0.07142857142857142,0.07142857142857142,1.0,14.0,0.06632653061224489,inf
